time,concentration a (%),concentration b (%),concentration total (%),volume a (ml),volume b (ml),volume total (ml)
0.0,10.0,90.0,100.0,0.0,0.0,0.0
1.0,10.0,90.0,100.0,4.0,36.0,40.0
2.0,12.4,87.6,100.0,8.3,71.7,80.0
3.0,17.1,82.9,100.0,14.4,105.6,120.0
4.0,21.8,78.2,100.0,22.4,137.6,160.0
5.0,26.5,73.5,100.0,32.3,167.7,200.0
6.0,31.3,68.7,100.0,44.0,196.0,240.0
7.0,36.0,64.0,100.0,57.7,222.3,280.0
8.0,40.7,59.3,100.0,73.2,246.8,320.0
9.0,45.4,54.6,100.0,90.6,269.4,360.0
10.0,50.1,49.9,100.0,109.9,290.1,400.0
11.0,54.9,45.1,100.0,131.1,308.9,440.0
12.0,59.6,40.4,100.0,154.2,325.8,480.0
13.0,64.3,35.7,100.0,179.2,340.8,520.0
14.0,69.0,31.0,100.0,206.0,354.0,560.0
15.0,73.8,26.2,100.0,234.8,365.2,600.0
16.0,78.5,21.5,100.0,265.4,374.6,640.0
17.0,83.2,16.8,100.0,298.0,382.0,680.0
18.0,87.9,12.1,100.0,332.4,387.6,720.0
19.0,92.6,7.4,100.0,368.7,391.3,760.0
20.0,95.0,5.0,100.0,406.5,393.5,800.0
21.0,10.0,90.0,100.0,427.3,412.7,840.0
22.0,10.0,90.0,100.0,431.3,448.7,880.0
23.0,10.0,90.0,100.0,435.3,484.7,920.0
